"timestamp","deviceId","bmp_temp","bmp_press","temp","humid","co2","forced"
1607654951,"15",20.77,1022.2,23,40.76,299,1
1607654921,"15",20.79,1022.19,23.02,41.02,302,1
1607654890,"15",20.79,1022.18,23.03,40.8,304,1
1607654859,"15",20.81,1022.18,23.02,40.94,303,1
1607654829,"15",20.8,1022.15,23.03,40.97,304,1
1607654798,"15",20.8,1022.11,23.03,41.08,305,1
1607654767,"15",20.81,1022.12,23.06,41.03,305,1
1607654737,"15",20.82,1022.11,23.05,41.16,305,1
1607654706,"15",20.82,1022.12,23.05,41.07,305,1
1607654676,"15",20.81,1022.1,23.03,40.9,306,1
1607654645,"15",20.83,1022.13,23.06,41,304,1
1607654614,"15",20.83,1022.13,23.06,40.89,304,1
1607654584,"15",20.84,1022.13,23.07,40.85,304,1
1607654553,"15",20.84,1022.15,23.07,41.03,306,1
1607654522,"15",20.85,1022.12,23.07,41.11,305,1
1607654491,"15",20.85,1022.13,23.07,41.04,304,1
1607654461,"15",20.85,1022.12,23.1,41.1,305,1
1607654430,"15",20.85,1022.09,23.09,41.06,306,1
1607654400,"15",20.86,1022.07,23.12,41.07,306,1
1607654369,"15",20.87,1022.07,23.09,40.93,306,1
1607654338,"15",20.88,1022.04,23.09,41.1,306,1
1607654308,"15",20.89,1022.04,23.15,41.12,306,1
1607654277,"15",20.89,1022.06,23.1,41.14,306,1
1607654246,"15",20.9,1022,23.15,41.12,307,1
1607654215,"15",20.89,1021.97,23.13,41.04,308,1
1607654185,"15",20.91,1022,23.13,41.17,309,1
1607654154,"15",20.91,1021.98,23.15,41.13,311,1
1607654123,"15",20.92,1021.98,23.18,41.07,312,1
1607654092,"15",20.93,1021.97,23.15,41.05,314,1
1607654062,"15",20.93,1021.97,23.15,41.05,316,1
1607654031,"15",20.93,1021.98,23.16,41.11,318,1
1607654000,"15",20.95,1021.97,23.18,41,320,1
1607653970,"15",20.96,1022.01,23.18,41.12,319,1
